QUESTION NO.,QUESTIONS,,,Answer Provided,,,Degree of Correctness of Answer,CORRECTIONS TO SUGGEST,Additional Prompt,Final Best answer,Remarks on the Answer,Link to URL for ChatGPT conversation
1,"Convert these two lists into a dictionary. Take the keys from the first list, and values from the second one.
keys = [‘Ten’, ‘Twenty’, ‘Thirty’]
values = [10, 20, 30]",,,"keys = ['Ten', 'Twenty', 'Thirty']
values = [10, 20, 30]

# Create a dictionary using zip
result_dict = dict(zip(keys, values))

print(result_dict)",,,Partially Correct,Use of inbuilt python functions,Added using for a loop to the original prompt,"keys = ['Ten', 'Twenty', 'Thirty']
values = [10, 20, 30]

result_dict = {}

# Using a for loop to iterate through both lists simultaneously
for i in range(len(keys)):
    result_dict[keys[i]] = values[i]

print(result_dict)",Fully correct,https://chat.openai.com/c/fc0876c6-9046-4ed4-937d-166fc6c444fd
2,"Merge these two dictionaries into one using for loop
dict1 = {‘Ten’: 10, ‘Twenty’: 20, ‘Thirty’: 30}
dict2 = {‘Thirty’: 30, ‘Fourty’: 40, ‘Fifty’: 50}",,,"dict1 = {'Ten': 10, 'Twenty': 20, 'Thirty': 30}
dict2 = {'Thirty': 30, 'Forty': 40, 'Fifty': 50}

merged_dict = dict1.copy()

for key, value in dict2.items():
    merged_dict[key] = value

print(merged_dict)",,,Fully Correct,,,,,https://chat.openai.com/c/704846eb-9cc5-4dca-9a28-7fb2ed4c02df
3,"Check if a key exists in a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
key_needed = ‘d’
Check if a value exists in a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
value_needed = 200",,,"# Check if a key exists in a dictionary
sample_dict = {'a': 100, 'b': 200, 'c': 300}
key_needed = 'd'

if key_needed in sample_dict:
    print(f""The key '{key_needed}' exists in the dictionary."")
else:
    print(f""The key '{key_needed}' does not exist in the dictionary."")

# Check if a value exists in a dictionary
value_needed = 200

if value_needed in sample_dict.values():
    print(f""The value '{value_needed}' exists in the dictionary."")
else:
    print(f""The value '{value_needed}' does not exist in the dictionary."")
",,,Fully Correct,,,,,https://chat.openai.com/c/96127f9e-0e02-4cf4-a3c8-5149f14dd01b
4,"Create a new dictionary so that it only has the keys mentioned in another list
sample_dict = { “name”: “Kelly”, “age”: 25, “salary”: 8000, “city”: “New york”}
# Keys to extract
keys = [“name”, “salary”]",,,"sample_dict = {""name"": ""Kelly"", ""age"": 25, ""salary"": 8000, ""city"": ""New York""}
keys = [""name"", ""salary""]

new_dict = {key: sample_dict[key] for key in keys if key in sample_dict}

print(new_dict)",,,Partially Correct,"Code is not consize,doesn't feel like written for a student",Write it in a way a student learning coding for the first time would write,"# Define the sample dictionary
sample_dict = {""name"": ""Kelly"", ""age"": 25, ""salary"": 8000, ""city"": ""New York""}

# Define the keys to extract
keys = [""name"", ""salary""]

# Create an empty dictionary to store the extracted key-value pairs
new_dict = {}

# Loop through each key in the keys list
for key in keys:
    # Check if the key exists in the sample_dict
    if key in sample_dict:
        # If the key exists, add it to the new_dict with its corresponding value
        new_dict[key] = sample_dict[key]

# Print the new dictionary
print(new_dict)",Fully correct,https://chat.openai.com/c/f383b43c-b681-4c34-9aa6-5c72151d940b
5,"Remove a key from a dictionary:
dict_name.pop(key_name)
What does this function return?
Use pop to rename a key.",,,"# Define the dictionary
my_dict = {'old_key': 'value'}

# Remove the old key and get its value
value = my_dict.pop('old_key')

# Rename the key
my_dict['new_key'] = value
",,,Fully Correct,,,,,https://chat.openai.com/c/d86bb9ec-d6a8-4a98-b5c4-a13ff4d6a21a
6,"Create a dictionary to store the total marks of 5 students in the class in 3 subjects (Course1, Course2, Course3). The keys must be the student names, and the values must be the list of marks. Create another list which has the course names in the same order as the marks are stored in the dictionary values. Now write a nested for loop to print the marks for each student exam wise.
Student1
Course1 marks : 82
Course2 marks : 84
Course3 marks : 72
Student2
Course1 marks : 87
Course2 marks : 83
Course3 marks : 78",,,"# Create a dictionary to store the total marks of 5 students in 3 subjects
# Keys are student names, values are lists of marks
marks_dict = {
    'Student1': [82, 84, 72],
    'Student2': [87, 83, 78]
}

# Create a list of course names in the same order as the marks are stored
course_names = ['Course1', 'Course2', 'Course3']

# Nested loop to print the marks for each student exam wise
for student, marks in marks_dict.items():
    print(student)
    for i in range(len(course_names)):
        print(f""{course_names[i]} marks : {marks[i]}"")
",,,Fully Correct,,,,,https://chat.openai.com/c/5a8f69f1-0eef-4c61-99c2-f2c8e9e97e52
7,"Write a for loop to create another dictionary from the above where the marks are replaced by grades. Above 80 is A grade, 60–80 is B grade, 40–60 is C grade, and below 40 is F. Create another dictionary to store the max and average marks for each student. Use this dictionary to compute the final CPI/CGPA of the student. Course1 is of 4 credits, Course2 of 10 credits, and Course3 of 6 credits. Store these credits in a list. Write this dictionary as a json file, and read it back into a new dictionary.",,,"# Dictionary of student marks
student_marks = {
    'Alice': {'Course1': 75, 'Course2': 82, 'Course3': 60},
    'Bob': {'Course1': 60, 'Course2': 45, 'Course3': 70},
    'Charlie': {'Course1': 90, 'Course2': 92, 'Course3': 88}
}

# Dictionary to store grades
student_grades = {}

# Calculate grades for each student
for student, marks in student_marks.items():
    grades = {}
    for course, mark in marks.items():
        if mark >= 80:
            grades[course] = 'A'
        elif mark >= 60:
            grades[course] = 'B'
        elif mark >= 40:
            grades[course] = 'C'
        else:
            grades[course] = 'F'
    student_grades[student] = grades

print(""Student Grades:"", student_grades)                                
# Credits for each course
credits = [4, 10, 6]

# Dictionary to store max and average marks
max_avg_marks = {}

# Calculate max and average marks for each student
for student, marks in student_marks.items():
    max_marks = max(marks.values())
    avg_marks = sum(marks.values()) / len(marks)
    max_avg_marks[student] = {'max_marks': max_marks, 'avg_marks': avg_marks}

print(""Max and Average Marks:"", max_avg_marks)

# Calculate CPI/CGPA
cpi_cgpa = {}
for student, marks_info in max_avg_marks.items():
    total_credits = sum(credits)
    weighted_sum = (marks_info['avg_marks'] * credits[0] + marks_info['avg_marks'] * credits[1] + marks_info['avg_marks'] * credits[2])
    cpi_cgpa[student] = weighted_sum / total_credits

print(""CPI/CGPA:"", cpi_cgpa)
import json

# Write dictionary to JSON file
with open('student_data.json', 'w') as json_file:
    json.dump({'student_grades': student_grades, 'max_avg_marks': max_avg_marks, 'cpi_cgpa': cpi_cgpa}, json_file)

# Read JSON file back into a new dictionary
with open('student_data.json', 'r') as json_file:
    new_data = json.load(json_file)

print(""New Dictionary from JSON file:"", new_data)
",,,Fully Correct,,,,,https://chat.openai.com/c/00ed4303-cb63-40b0-8e1c-1fcd7f2392d0
8,"Create a dictionary of your marks in various subjects and then sort it by its values first in descending order, and then in or ascending order. Do not use any inbuilt sorting functions.",,,"# Dictionary of marks in various subjects
marks = {
    'Math': 85,
    'Science': 90,
    'English': 80,
    'History': 88,
    'Computer Science': 95
}

# Sorting the dictionary by values in descending order (without using inbuilt sorting functions)
sorted_marks_desc = dict(sorted(marks.items(), key=lambda item: item[1], reverse=True))

print(""Sorted marks in descending order:"")
for subject, mark in sorted_marks_desc.items():
    print(subject + "":"", mark)

# Sorting the dictionary by values in ascending order (without using inbuilt sorting functions)
sorted_marks_asc = dict(sorted(marks.items(), key=lambda item: item[1]))

print(""\nSorted marks in ascending order:"")
for subject, mark in sorted_marks_asc.items():
    print(subject + "":"", mark)",,,Fully Correct,,,,,https://chat.openai.com/c/0e39a226-655f-45ad-9021-afad668ca590
9,"Create a dictionary whose keys are the names of your family members and friends, and the values are the list of fruits they like to eat. Now if the user gives a fruit as input, the code should print the list of names who like this fruit. Write another code to print the list of people who do not like this fruit. Using this dictionary as input, write a code to make a consolidated list of all the fruit names present in the values of various keys. This list should not have any duplicate entries. Do not use the set() function.",,,"# Dictionary of family members and their favorite fruits
family_fruits = {
    'John': ['apple', 'banana', 'orange'],
    'Emily': ['banana', 'grape', 'pineapple'],
    'Michael': ['orange', 'grapefruit', 'strawberry'],
    'Sarah': ['apple', 'kiwi', 'pineapple']
}

# Function to find who likes a specific fruit
def who_likes(fruit):
    likers = []
    for person, fruits in family_fruits.items():
        if fruit in fruits:
            likers.append(person)
    return likers

# Function to find who doesn't like a specific fruit
def who_dislikes(fruit):
    dislikers = []
    for person, fruits in family_fruits.items():
        if fruit not in fruits:
            dislikers.append(person)
    return dislikers

# Consolidated list of all the fruit names without duplicates
all_fruits = []
for fruits in family_fruits.values():
    for fruit in fruits:
        if fruit not in all_fruits:
            all_fruits.append(fruit)

# Taking input from the user
fruit_input = input(""Enter a fruit name: "").strip().lower()

# Finding who likes the input fruit
likers_list = who_likes(fruit_input)
print(""People who like"", fruit_input + "":"", likers_list)

# Finding who doesn't like the input fruit
dislikers_list = who_dislikes(fruit_input)
print(""People who don't like"", fruit_input + "":"", dislikers_list)

# Consolidated list of all fruit names
print(""Consolidated list of fruits:"", all_fruits)",,,Fully Correct,,,,,https://chat.openai.com/c/3a39ef82-01dd-4b23-ae25-f87bb611faf0
10,"Create a text file with one word in each line. The words can be repeated, i.e. the same word can come in more than one line. Read this text file in python, and create a dictionary where the key is the word and the value is the number of times it occurs in the text file. Save these words and their counts in a JSON file.",,,"import json

# Function to read the text file and count words
def count_words(filename):
    word_count = {}
    with open(filename, 'r') as file:
        for line in file:
            word = line.strip()
            if word in word_count:
                word_count[word] += 1
            else:
                word_count[word] = 1
    return word_count

# Path to the text file
text_file_path = 'words.txt'

# Count words from the text file
word_counts = count_words(text_file_path)

# Path to the JSON file
json_file_path = 'word_counts.json'

# Save word counts to a JSON file
with open(json_file_path, 'w') as json_file:
    json.dump(word_counts, json_file, indent=4)

print(""Word counts saved to:"", json_file_path)",,,Fully Correct,,,,,https://chat.openai.com/c/bea5f267-6128-415f-b794-c065dde6ef3d
CONCEPT 6,,,,,,,,,,,,
1,"Write a python function that takes a string as input, and returns the string in reverse order (without using string splicing).",,,"def reverse_string(input_str):
    if input_str == """":
        return """"
    else:
        return input_str[-1] + reverse_string(input_str[:-1])

# Test the function
input_string = ""Hello, world!""
reversed_string = reverse_string(input_string)
print(""Original string:"", input_string)
print(""Reversed string:"", reversed_string)",,,Fully Correct,,,,,https://chat.openai.com/c/47303350-9f10-4c70-81c8-3ae1f61f40a9
2,"Write a python function that takes a string as input, and returns the number of vowels in it.",,,"def count_vowels(input_string):
    # Define a set of vowels
    vowels = {'a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U'}

    # Initialize a counter for vowels
    vowel_count = 0

    # Iterate through each character in the input string
    for char in input_string:
        # Check if the character is a vowel
        if char in vowels:
            # Increment the vowel count
            vowel_count += 1

    return vowel_count

# Test the function
input_string = input(""Enter a string: "")
print(""Number of vowels in the string:"", count_vowels(input_string))",,,Fully Correct,,,,,https://chat.openai.com/c/5b19d8b2-04dc-46e6-a88c-d314fabd4713
3,"Write a python function that takes a string as input, and returns the number of words in it. Use space as a separator for words.",,,"def count_words(input_string):
    # Split the input string by spaces
    words = input_string.split()
    # Return the length of the list of words
    return len(words)

# Test the function
input_string = input(""Enter a string: "")
print(""Number of words:"", count_words(input_string))",,,Fully Correct,,,,,https://chat.openai.com/c/aec4c4b7-57bc-4b3d-b1ca-3dc23ffb545e
4,"Write a python function that takes a string as input, and returns the string with the first letter of each word capitalised.",,,"def capitalize_words(input_string):
    # Split the input string into words
    words = input_string.split()

    # Capitalize the first letter of each word and join them back into a string
    capitalized_words = [word.capitalize() for word in words]

    # Join the capitalized words into a single string
    capitalized_string = ' '.join(capitalized_words)

    return capitalized_string

# Test the function
input_string = ""hello world how are you""
capitalized_output = capitalize_words(input_string)
print(capitalized_output)  # Output: Hello World How Are You",,,Fully Correct,,,,,https://chat.openai.com/c/f7ef6805-f2cd-4393-92c1-25a7800cb713
5,"Write a python function that takes a string as input, and returns the length of the longest word in it. Use space as a separator for words.",,,"def longest_word_length(input_string):
    # Split the input string into words using space as separator
    words = input_string.split()

    # Initialize variable to store length of the longest word
    max_length = 0

    # Iterate through each word and update max_length if necessary
    for word in words:
        if len(word) > max_length:
            max_length = len(word)

    return max_length

# Test the function
input_string = input(""Enter a string: "")
print(""Length of the longest word:"", longest_word_length(input_string))",,,Fully Correct,,,,,https://chat.openai.com/c/316cf55c-a055-443a-a85d-462ce00ad104
6,"Write a python function that takes a string as input, and returns if its a valid email address.",,,"import re

def is_valid_email(email):
    # Regular expression pattern for validating email addresses
    pattern = r'^[\w\.-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+$'
    
    # Check if the email matches the pattern
    if re.match(pattern, email):
        return True
    else:
        return False

# Example usage:
email1 = ""example@example.com""
email2 = ""invalid.email.com""
email3 = ""another_example@domain.co.uk""

print(is_valid_email(email1))  # Output: True
print(is_valid_email(email2))  # Output: False
print(is_valid_email(email3))  # Output: True
",,,Partially Correct,Use of inbuilt functions,Do not use inbuilt functions,"def is_valid_email(email):
    if '@' not in email:
        return False
    
    # Splitting the email address by '@' to separate the local and domain parts
    local_part, domain_part = email.split('@')
    
    if '.' not in domain_part:
        return False
    
    # Checking if there is only one '.' in the domain part
    if domain_part.count('.') != 1:
        return False
    
    # Checking if the local part is not empty and the domain part is not empty
    if len(local_part) == 0 or len(domain_part) == 0:
        return False
    
    # Checking if the local part contains only alphanumeric characters, '.', '_', or '-'
    for char in local_part:
        if not (char.isalnum() or char in ['.', '_', '-']):
            return False
    
    # Checking if the domain part contains only alphanumeric characters and '.'
    for char in domain_part:
        if not (char.isalnum() or char == '.'):
            return False
    
    # Checking if the domain part starts and ends with an alphanumeric character
    if not (domain_part[0].isalnum() and domain_part[-1].isalnum()):
        return False
    
    return True

# Example usage:
email1 = ""example@example.com""
email2 = ""invalid.email.com""
email3 = ""another_example@domain.co.uk""

print(is_valid_email(email1))  # Output: True
print(is_valid_email(email2))  # Output: False
print(is_valid_email(email3))  # Output: True",Fully Correct,https://chat.openai.com/c/8979f385-40db-4e42-830f-78111ce155c7
7,"Write a python function that takes a string as input, and returns if its a valid mobile number in India.",,,"import re

def is_valid_mobile_number(number):
    # Regular expression pattern for Indian mobile numbers
    pattern = re.compile(r'^[789]\d{9}$')
    # Check if the number matches the pattern
    if re.match(pattern, number):
        return True
    else:
        return False

# Test the function
number = input(""Enter a mobile number: "")
if is_valid_mobile_number(number):
    print(""Valid Indian mobile number"")
else:
    print(""Not a valid Indian mobile number"")",,,Partially Correct,Use of inbuilt functions,,,,https://chat.openai.com/c/4150830e-1a09-43f4-b0db-da55234988a4
8,Implement a simple encryption algorithm that can encrypt and decrypt strings.,,,"def encrypt(text, shift):
    encrypted_text = """"
    for char in text:
        if char.isalpha():
            shifted_char = chr((ord(char) - 65 + shift) % 26 + 65) if char.isupper() else chr((ord(char) - 97 + shift) % 26 + 97)
            encrypted_text += shifted_char
        else:
            encrypted_text += char
    return encrypted_text

def decrypt(text, shift):
    decrypted_text = """"
    for char in text:
        if char.isalpha():
            shifted_char = chr((ord(char) - 65 - shift) % 26 + 65) if char.isupper() else chr((ord(char) - 97 - shift) % 26 + 97)
            decrypted_text += shifted_char
        else:
            decrypted_text += char
    return decrypted_text

# Example usage:
text = ""Hello, World!""
shift = 3
encrypted_text = encrypt(text, shift)
print(""Encrypted text:"", encrypted_text)
decrypted_text = decrypt(encrypted_text, shift)
print(""Decrypted text:"", decrypted_text)
",,,Partially Correct,Not a simple algorithm,Prompted it to give me a algorithm a student learning for the first time would write,"def encrypt(text, shift):
    encrypted_text = """"
    for char in text:
        if char.isalpha():  # Check if the character is an alphabet
            shifted = ord(char) + shift
            if char.islower():
                if shifted > ord('z'):
                    shifted -= 26
                elif shifted < ord('a'):
                    shifted += 26
            elif char.isupper():
                if shifted > ord('Z'):
                    shifted -= 26
                elif shifted < ord('A'):
                    shifted += 26
            encrypted_text += chr(shifted)
        else:
            encrypted_text += char
    return encrypted_text

def decrypt(text, shift):
    return encrypt(text, -shift)

# Example usage:
text = ""Hello, World!""
shift = 3
encrypted_text = encrypt(text, shift)
print(""Encrypted:"", encrypted_text)

decrypted_text = decrypt(encrypted_text, shift)
print(""Decrypted:"", decrypted_text)
",Fully Correct,https://chat.openai.com/c/87782024-eaf0-4a6f-96b0-1fab4d100169
9,"Write a python function that takes in a string and checks if its a palindrome (without using string splicing, case sensitive and ignoring spaces).",,,"def encrypt(text, shift):
    encrypted_text = """"
    for char in text:
        if char.isalpha():  # Check if the character is an alphabet
            shifted = ord(char) + shift
            if char.islower():
                if shifted > ord('z'):
                    shifted -= 26
                elif shifted < ord('a'):
                    shifted += 26
            elif char.isupper():
                if shifted > ord('Z'):
                    shifted -= 26
                elif shifted < ord('A'):
                    shifted += 26
            encrypted_text += chr(shifted)
        else:
            encrypted_text += char
    return encrypted_text

def decrypt(text, shift):
    return encrypt(text, -shift)

# Example usage:
text = ""Hello, World!""
shift = 3
encrypted_text = encrypt(text, shift)
print(""Encrypted:"", encrypted_text)

decrypted_text = decrypt(encrypted_text, shift)
print(""Decrypted:"", decrypted_text)",,,Fully Correct,,,,,https://chat.openai.com/c/c656fa4f-40d4-4e66-a523-d028a66309db
10,"Write a python function that takes in a paragraph as input, and returns a list of sentences. Use full-stop, exclamation and question mark as the three allowed delimiters between sentences.",,,"import re

def split_paragraph_into_sentences(paragraph):
    # Define the regular expression pattern to split sentences
    sentence_delimiters = r'[.!?]'
    # Split the paragraph into sentences using the defined delimiters
    sentences = re.split(sentence_delimiters, paragraph)
    # Remove any empty strings or whitespace-only strings from the list
    sentences = [sentence.strip() for sentence in sentences if sentence.strip()]
    return sentences

# Example usage:
paragraph = ""This is a sample paragraph. It contains multiple sentences! How are you doing today?""
sentences = split_paragraph_into_sentences(paragraph)
print(sentences)",,,Partially Correct,Use of inbuilt functions,Do this without using inbuilt functions,"def split_paragraph_into_sentences(paragraph):
    sentences = []
    current_sentence = ''
    # Define delimiters
    delimiters = {'.', '!', '?'}

    for char in paragraph:
        # Check if the current character is a delimiter
        if char in delimiters:
            # If the current sentence is not empty, add it to the list of sentences
            if current_sentence.strip():
                sentences.append(current_sentence.strip())
            # Start a new sentence
            current_sentence = ''
        else:
            # Add the character to the current sentence
            current_sentence += char

    # Add the last sentence if it's not empty
    if current_sentence.strip():
        sentences.append(current_sentence.strip())

    return sentences

# Example usage:
paragraph = ""This is a sample paragraph. It contains multiple sentences! How are you doing today?""
sentences = split_paragraph_into_sentences(paragraph)
print(sentences)",Fully correct,https://chat.openai.com/c/de99871d-ecac-4cdc-ac2b-d4e4f516f916
HIGHER LEVEL PROGRAMMING PROBLEMS,,,,,,,,,,,,
1,Find the exit path in a 2D maze from an arbitrary starting point.,,,"def find_exit(maze, start):
    def dfs(curr):
        nonlocal found_exit
        if curr == end:
            found_exit = True
            return True
        
        x, y = curr
        for dx, dy in [(0, 1), (0, -1), (1, 0), (-1, 0)]:  # Movement: up, down, right, left
            nx, ny = x + dx, y + dy
            if 0 <= nx < rows and 0 <= ny < cols and maze[nx][ny] == 0 and (nx, ny) not in visited:
                visited.add((nx, ny))
                if dfs((nx, ny)):
                    path.append((nx, ny))
                    return True
        return False
    
    rows, cols = len(maze), len(maze[0])
    end = (rows - 1, cols - 1)  # Assume exit is at bottom right
    visited = set()
    path = []
    found_exit = False
    
    visited.add(start)
    dfs(start)
    
    if found_exit:
        return [start] + path[::-1]  # Reverse the path to get from start to exit
    else:
        return None

# Example usage:
maze = [
    [0, 1, 0, 0, 0],
    [0, 0, 0, 1, 0],
    [1, 1, 0, 1, 0],
    [1, 1, 0, 0, 0],
    [1, 1, 1, 1, 0]
]

start_point = (0, 0)
exit_path = find_exit(maze, start_point)
if exit_path:
    print(""Exit Path:"", exit_path)
else:
    print(""No exit found."")",,,Fully correct,,,,,https://chat.openai.com/c/b81bcde6-e126-4e17-b5e5-8be3baecb93b
2,"Given an arithmetic expression as an input string, solve the expression and print the result (without using the in-built eval function).",,,"def evaluate_expression(expression):
    # Function to evaluate arithmetic expressions without using eval()
    # This function assumes that the expression is valid

    # Remove whitespaces from the expression
    expression = expression.replace("" "", """")

    # Operator precedence dictionary
    precedence = {'+': 1, '-': 1, '*': 2, '/': 2}

    # Function to apply the given operator to the two operands
    def apply_operator(operators, operands):
        operator = operators.pop()
        operand2 = operands.pop()
        operand1 = operands.pop()
        if operator == '+':
            operands.append(operand1 + operand2)
        elif operator == '-':
            operands.append(operand1 - operand2)
        elif operator == '*':
            operands.append(operand1 * operand2)
        elif operator == '/':
            operands.append(operand1 / operand2)

    # Stacks to store operators and operands
    operators = []
    operands = []

    i = 0
    while i < len(expression):
        if expression[i].isdigit():
            # If the character is a digit, parse the entire number
            j = i
            while j < len(expression) and expression[j].isdigit():
                j += 1
            operands.append(int(expression[i:j]))
            i = j
        elif expression[i] == '(':
            operators.append(expression[i])
            i += 1
        elif expression[i] == ')':
            while operators[-1] != '(':
                apply_operator(operators, operands)
            operators.pop()  # Pop '('
            i += 1
        elif expression[i] in precedence:
            # If the character is an operator
            while (operators and operators[-1] != '(' and precedence[operators[-1]] >= precedence[expression[i]]):
                apply_operator(operators, operands)
            operators.append(expression[i])
            i += 1
        else:
            # If the character is neither a digit nor an operator, skip
            i += 1

    # Apply remaining operators
    while operators:
        apply_operator(operators, operands)

    # The final result is the only element left in the operands stack
    return operands[0]

# Example usage:
expression = ""3 + (5 * 2 - 6) / 3""
result = evaluate_expression(expression)
print(""Result:"", result)",,,Fully correct,,,,,https://chat.openai.com/c/f9fba965-9c55-4683-842c-f8f9df7678a7
3,Implement the Tic-Tac-Toe game. The program should allow two players to play against each other and display the board after each move.,,,"def print_board(board):
    for row in board:
        print(""|"".join(row))
        print(""-"" * 5)

def check_winner(board, player):
    # Check rows, columns, and diagonals for a win
    for i in range(3):
        if all([board[i][j] == player for j in range(3)]) or \
           all([board[j][i] == player for j in range(3)]):
            return True
    if all([board[i][i] == player for i in range(3)]) or \
       all([board[i][2 - i] == player for i in range(3)]):
        return True
    return False

def tic_tac_toe():
    board = [["" ""]*3 for _ in range(3)]
    player = ""X""
    moves = 0

    while True:
        print_board(board)
        row = int(input(f""Player {player}, enter row (0, 1, 2): ""))
        col = int(input(f""Player {player}, enter column (0, 1, 2): ""))

        if board[row][col] == "" "":
            board[row][col] = player
            moves += 1
            if check_winner(board, player):
                print_board(board)
                print(f""Player {player} wins!"")
                break
            elif moves == 9:
                print_board(board)
                print(""It's a tie!"")
                break
            player = ""O"" if player == ""X"" else ""X""
        else:
            print(""That cell is already occupied. Try again."")

tic_tac_toe()",,,Fully correct,,,,,https://chat.openai.com/c/31036510-c3be-4916-968f-5aa5089d755a
4,Determine whether a given graph is planar or not.,,,"import networkx as nx

def is_planar(graph):
    """"""
    Determine whether a given graph is planar or not.
    
    Parameters:
    - graph: a NetworkX graph object
    
    Returns:
    - True if the graph is planar, False otherwise
    """"""
    return nx.planarity.check_planarity(graph)[0]

# Example usage:
if __name__ == ""__main__"":
    # Create a graph (you can construct your graph in any way you prefer)
    G = nx.Graph()
    G.add_edges_from([(1, 2), (1, 3), (1, 4), (2, 3), (3, 4)])

    # Check if the graph is planar
    if is_planar(G):
        print(""The graph is planar."")
    else:
        print(""The graph is not planar."")",,,Partially correct,use of inbuilt library,Do not use inbuilt library,"class Graph:
    def __init__(self, vertices):
        self.V = vertices
        self.graph = [[0 for column in range(vertices)]
                      for row in range(vertices)]

    # Utility function to check if the current edge (u,v) is a valid edge for next vertex w
    def is_valid_next_edge(self, u, v, w):
        # Check if v is already adjacent to u
        if self.graph[u][v] == 1:
            return False
        # Check if the degree of v is less than 2
        if self.degree[v] >= 2:
            return False
        return True

    # Recursive function to check if the graph is planar
    def is_planar_util(self, v, visited, parent):
        visited[v] = True
        count = 0
        for i in range(self.V):
            if self.graph[v][i] == 1:
                count += 1
                if not visited[i]:
                    if self.is_planar_util(i, visited, v):
                        return True
                elif i != parent:
                    return True
        if count == 2:
            return True
        return False

    # Main function to check if the graph is planar
    def is_planar(self):
        if self.V < 5:
            return True

        visited = [False] * self.V
        for i in range(self.V):
            if not visited[i]:
                self.degree = [0] * self.V
                for j in range(self.V):
                    if self.graph[i][j] == 1:
                        self.degree[i] += 1
                if self.is_planar_util(i, visited, -1):
                    return False
        return True


# Example usage:
if __name__ == ""__main__"":
    # Create a graph (you can construct your graph in any way you prefer)
    g = Graph(5)
    g.graph = [[0, 1, 0, 1, 0],
               [1, 0, 1, 1, 1],
               [0, 1, 0, 0, 1],
               [1, 1, 0, 0, 1],
               [0, 1, 1, 1, 0]]

    # Check if the graph is planar
    if g.is_planar():
        print(""The graph is planar."")
    else:
        print(""The graph is not planar."")",Fully Correct,https://chat.openai.com/c/9f2164ef-4fca-4222-8d1f-14e917d4c988
