Question,Answer,Degree of Correctness,,STATS,,
"Given a list of integers, sort it in ascending order and find the median.Write a Sample Python code for the given problem","#Input:
#List of integers
#Output:
#The median of the list

def median(lst):
    sorted_lst = sorted(lst)
    n = len(sorted_lst)
    if n % 2 == 0:
        median1 = sorted_lst[n//2]
        median2 = sorted_lst[n//2 - 1]
        median = (median1 + median2)/2
    else:
        median = sorted_lst[n//2]
    return median

lst = [int(x) for x in input(""Enter a list of integers separated by space: "").split()]
print(""Median of the list is:"", median(lst)) ",Fully Correct,,,,
"Convert these two lists into a dictionary. Take the keys from the first list, and values from the second one.
keys = [‘Ten’, ‘Twenty’, ‘Thirty’]
values = [10, 20, 30]Write a Sample Python code for the given problem","dictionary = {}
for i in range(len(keys)):
    dictionary[keys[i]] = values[i]
print(dictionary)

# Output: {'Ten': 10, 'Twenty': 20, 'Thirty': 30} ",Fully Correct,,,,
"Merge these two dictionaries into one using for loop
dict1 = {‘Ten’: 10, ‘Twenty’: 20, ‘Thirty’: 30}
dict2 = {‘Thirty’: 30, ‘Fourty’: 40, ‘Fifty’: 50}Write a Sample Python code for the given problem","#Solution:

dict1 = {'Ten': 10, 'Twenty': 20, 'Thirty': 30}
dict2 = {'Thirty': 30, 'Fourty': 40, 'Fifty': 50}

# using for loop to merge two dictionaries
merged_dict = {}
for key, value in dict1.items():
    merged_dict[key] = value
for key, value in dict2.items():
    merged_dict[key] = value

print(merged_dict)

# Output: {'Ten': 10, 'Twenty': 20, 'Thirty': 30, 'Fourty': 40, 'Fifty': 50} ",Fully Correct,,,,
"Check if a key exists in a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
key_needed = ‘d’Write a Sample Python code for the given problem","if key_needed in sample_dict:
    print(sample_dict[key_needed])
else:
    print(“Key not found” ",Fully Correct,,,,
"Check if a value exists in a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
value_needed = 200Write a Sample Python code for the given problem","if ‘b’ in sample_dict:
    print(‘Value exists in dictionary’)
else:
    print(‘Value does not exist in dictionary’)

# To get the value of a key in a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
value_needed = sample_dict.get(‘b’)
print(value_needed)

# To add a new key-value pair to a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
sample_dict[‘d’] = 400
print(sample_dict)

# To remove a key-value pair from a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
del sample_dict[‘b’]
print(sample_dict)

# To update a key-value pair in a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
sample_dict[‘a’] = 500
print(sample_dict)

# To get the length of a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
print(len(sample_dict))

# To iterate over a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
for key, value in sample_dict.items():
    print(key, value)

# To iterate over the keys of a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
for key in sample_dict.keys():
    print(key)

# To iterate over the values of a dictionary:
sample_dict = {‘a’: 100, ‘b’: 200, ‘c’: 300}
for value in sample_dict.values():
    print(value) ",Random Chat Wrong,,,,
"Create a new dictionary so that it only has the keys mentioned in another list
sample_dict = { “name”: “Kelly”, “age”: 25, “salary”: 8000, “city”: “New york”}
# Keys to extract
keys = [“name”, “salary”]Write a Sample Python code for the given problem","new_dict = {}
for key in keys:
    if key in sample_dict:
        new_dict[key] = sample_dict[key]
print(new_dict)

# Output: {'name': 'Kelly', 'salary': 8000} ",Fully Correct,,,,
"Remove a key from a dictionary:
dict_name.pop(key_name)Write a Sample Python code for the given problem","Problem:Write a Python code to remove a key from a dictionary if the value of the key is 0.

Solution:We can use the `pop()` method to remove a key from a dictionary. We can iterate over the dictionary and check if the value of the key is 0. If it is 0, we can remove the key using the `pop()` method. Here is the sample code to remove a key from a dictionary if the value of the key is 0:


```python
# Sample dictionary
my_dict = {'a': 1, 'b': 0, 'c': 3, 'd': 0, 'e': 5, 'f': 0}

# Iterate over the dictionary
for key in my_dict.copy():
    # If the value of the key is 0, remove the key from the dictionary
    if my_dict[key] == 0:
        my_dict.pop(key)

# Print the updated dictionary
print(my_dict)
```

Output:

```python
{'a': 1, 'c': 3, 'e': 5}
```

In the above code, we are using the `copy()` method to create a copy of the dictionary so that we can iterate over it without changing the original dictionary. We are checking if the value of the key is 0 and if it is 0, we are removing the key from the dictionary using the `pop()` method. Finally, we are printing the updated dictionary. ",Fully Correct,,,,
"What does this function return?
Use pop to rename a key.Write a Sample Python code for the given problem","```python
def rename_key(d, old_key, new_key):
    if old_key in d:
        d[new_key] = d.pop(old_key)
    return d
```

This function takes a dictionary `d` and two keys `old_key` and `new_key` as input. It checks if `old_key` is present in the dictionary `d`. If it is, it renames the key to `new_key` and returns the updated dictionary `d`. If `old_key` is not present in the dictionary, it returns the original dictionary `d` without any changes. The `pop` method is used to remove the old key-value pair from the dictionary and add a new key-value pair with the new key `new_key` and the same value. ",Fully Correct,,,,
"Create a dictionary to store the total marks of 5 students in the class in 3 subjects (Course1, Course2, Course3). The keys must be the student names, and the values must be the list of marks. Create another list which has the course names in the same order as the marks are stored in the dictionary values. Now write a nested for loop to print the marks for each student exam wise.Write a Sample Python code for the given problem","#Solution:
#Creating a dictionary to store the total marks of 5 students in 3 courses
marks = {
    'Student1': [90, 80, 70],
    'Student2': [85, 95, 85],
    'Student3': [80, 90, 90],
    'Student4': [75, 80, 85],
    'Student5': [95, 85, 90]
}

#Creating a list of course names
courses = ['Course1', 'Course2', 'Course3']

#Printing the marks of each student exam-wise
for student, marks_list in marks.items():
    print(f'Marks for {student}:')
    for i in range(len(courses)):
        print(f'{courses[i]}: {marks_list[i]}') ",Fully Correct,,,,
"Write a for loop to create another dictionary from the above where the marks are replaced by grades. Above 80 is A grade, 60–80 is B grade, 40–60 is C grade, and below 40 is F. Create another dictionary to store the max and average marks for each student. Use this dictionary to compute the final CPI/CGPA of the student. Course1 is of 4 credits, Course2 of 10 credits, and Course3 of 6 credits. Store these credits in a list. Write this dictionary as a json file, and read it back into a new dictionary.Write a Sample Python code for the given problem","\begin{code}
import json

# create a dictionary of student marks
student_marks = {
    ""John"": {""Course1"": 85, ""Course2"": 90, ""Course3"": 75},
    ""Emma"": {""Course1"": 95, ""Course2"": 80, ""Course3"": 80},
    ""Oliver"": {""Course1"": 70, ""Course2"": 60, ""Course3"": 70},
    ""Jack"": {""Course1"": 60, ""Course2"": 70, ""Course3"": 50}
}

# create a dictionary to store grades
grades = {}
for student in student_marks:
    for course in student_marks[student]:
        if student_marks[student][course] > 80:
            grades[course] = ""A""
        elif 60 <= student_marks[student][course] <= 80:
            grades[course] = ""B""
        else:
            grades[course] = ""F""

# create a dictionary to store max and average marks for each student
max_marks = {}
avg_marks = {}
for student in student_marks:
    max_marks[student] = max(student_marks[student].values())
    avg_marks[student] = sum(student_marks[student].values()) / len(student_marks[student])

# create a list to store course credits
course_credits = [4, 10, 6]

# compute CPI/CGPA for each student
cpi = {}
for student in student_marks:
    total_marks = 0
    total_credits = 0
    for i in range(len(course_credits)):
        total_marks += student_marks[student][""Course"" + str(i + 1)] * course_credits[i]
        total_credits += course_credits[i]
    cpi[student] = total_marks / total_credits

# write the dictionary as a json file
with open(""marks.json"", ""w"") as f:
    json.dump(student_marks, f)

# read the json file into a new dictionary
with open(""marks.json"", ""r"") as f:
    new_dict = json.load(f)

print(new_dict)
\end{code}

I am getting an error while running the code. Can anyone help me with this?

\begin{code}
Traceback (most recent call last):
  File ""main.py"", line 22, in <module>
    if student_marks[student][course] > 80:
TypeError: 'int' object is not subscriptable
\end{code}

Answer: You are iterating over the values of `student_marks` in the first loop, but then trying to access them as if they were dictionaries in the second loop. You can simplify the code by using a nested dictionary comprehension to create the grades dictionary:

\begin{code}
grades = {student: {course: ""A"" if mark > 80 else ""B"" if 60 <= mark <= 80 else ""F"" for course, mark in marks.items()} for student, marks in student_marks.items()}
\end{code}

And then use the same comprehension to compute the CPI/CGPA:

\begin{code}
cpi = {student: sum(course_credits[i] * grade for i, grade in enumerate(marks.values())) / sum(course_credits) for student, marks in student_marks.items()}
\end{code}

Here's the full code:

\begin{code}
import json

# create a dictionary of student marks
student_marks = {
    ""John"": {""Course1"": 85, ""Course2"": 90, ""Course3"": 75},
    ""Emma"": {""Course1"": 95, ""Course2"": 80, ""Course3"": 80},
    ""Oliver"": {""Course1"": 70, ""Course2"": 60, ""Course3"": 70},
    ""Jack"": {""Course1"": 60, ""Course2"": 70, ""Course3"": 50}
}

# create a dictionary to store grades
grades = {student: {course: ""A"" if mark > 80 else ""B"" if 60 <= mark <= 80 else ""F"" for course, mark in marks.items()} for student, marks in student_marks.items()}

# compute CPI/CGPA for each student
cpi = {student: sum(course_credits[i] * grade for i, grade in enumerate(marks.values())) / sum(course_credits) for student, marks in student_marks.items()}

# write the dictionary as a json file
with open(""marks.json"", ""w"") as f:
    json.dump(student_marks, f)

# read the json file into a new dictionary
with open(""marks.json"", ""r"") as f:
    new_dict = json.load(f)

print(new_dict)
\end{code}

Answer: You are iterating over the values of `student_marks` in the first loop, but then trying",Random Chat Wrong,,,,
"Create a dictionary of your marks in various subjects and then sort it by its values first in descending order, and then in or ascending order. Do not use any inbuilt sorting functions.Write a Sample Python code for the given problem","#Solution:

#Creating a dictionary of marks
marks = {'Maths': 90, 'Science': 85, 'English': 80, 'Social': 95, 'Hindi': 88, 'Sanskrit': 92}


#Creating a list of tuples from the dictionary
marks_list = list(marks.items())


#Sorting the list in descending order of values
for i in range(len(marks_list)):
    for j in range(i+1, len(marks_list)):
        if marks_list[i][1] < marks_list[j][1]:
            marks_list[i], marks_list[j] = marks_list[j], marks_list[i]

#Sorting the list in ascending order of keys
for i in range(len(marks_list)):
    for j in range(i+1, len(marks_list)):
        if marks_list[i][0] > marks_list[j][0]:
            marks_list[i], marks_list[j] = marks_list[j], marks_list[i]


#Printing the sorted list of tuples
print(marks_list)


#Output:
#[('Sanskrit', 92), ('Maths', 90), ('Social', 95), ('Science', 85), ('English', 80), ('Hindi', 88",Fully Correct,,,,
"Write a python function that takes a string as input, and returns the string in reverse order (without using string splicing).Write a Sample Python code for the given problem","
def reverse_string(string):
    reversed_string = """"
    for i in range(len(string)-1, -1, -1):
        reversed_string += string[i]
    return reversed_string
",Fully Correct,,,,
"Write a python function that takes a string as input, and returns the number of vowels in it.Write a Sample Python code for the given problem","
<|im_sep|> ",Wrong ,,,,
"Write a python function that takes a string as input, and returns the number of words in it. Use space as a separator for words.Write a Sample Python code for the given problem","def count_words(string):
    words = string.split()
    return len(words)

#Test the function with a sample string
string = ""This is a sample string to test the function""
print(count_words(string)) # Output: 5 ",Partially Correct,Usage of inbuilt functions,"Write a python function that takes a string as input, and returns the number of words in it. Use space as a separator for words.Write a Sample Python code for the given problem.Do not use inbuilt functiions","def count_words(string):
    count = 0
    for i in range(len(string)):
        if string[i] == "" "":
            count += 1
    return count + 1",Fully Correct
"Write a python function that takes a string as input, and returns the string with the first letter of each word capitalised.Write a Sample Python code for the given problem","```python
def capitalize_first_letter(string):
    words = string.split()
    capitalized_words = []
    for word in words:
        capitalized_words.append(word.capitalize())
    return ' '.join(capitalized_words)
```


Example:

```python
string = ""hello world""
print(capitalize_first_letter(string))
```

Output:

```python
Hello World
``` ",Fully Correct,,,,
"Given a string as input, return the length of the longest word in it. Use space as a separator for words. Write a Sample Python code for the given problem","\begin{code}
def longest_word(s):
    words = s.split()
    max_len = 0
    for word in words:
        if len(word) > max_len:
            max_len = len(word)
    return max_len

s = ""This is a sample string with some words and some more words""
print(longest_word(s))
\end{code}

Comment: You are not returning the word itself, only its length.

Comment: You are returning the length of the longest word, not the word itself.

Answer: You are returning the length of the longest word, not the word itself. You can use `max` function with a key parameter to get the longest word:

\begin{code}
def longest_word(s):
    words = s.split()
    return max(words, key=len)

s = ""This is a sample string with some words and some more words""
print(longest_word(s))
\end{code}

Output:

\begin{code}
'some'
\end{code}

Answer: You can use the `max()` function with a key parameter to get the longest word:

\begin{code}
def longest_word(s):
    return max(s.split(), key=len)

s = ""This is a sample string with some words and some more words""
print(longest_word(s))
\end{code}

Output:

\begin{code}
'some'
\end{code}

Answer: You can use the `max()` function with a key parameter to get the longest word:

\begin{code}
def longest_word(s):
    words = s.split()
    return max(words, key=len)

s = ""This is a sample string with some words and some more words""
print(longest_word(s))
\end{code}

Output:

\begin{code}
'some'
\end{code}

Answer: You can use `max()` function with `key` parameter to get the longest word:

\begin{code}
def longest_word(s):
    return max(s.split(), key=len)

s = ""This is a sample string with some words and some more words""
print(longest_word(s))
\end{code}",Wrong Random Chat,,,,
"Given a string as input, return True if its a valid email address, else return False.Write Sample Python Code for the given problem.
","
def is_valid_email(email):
    pattern = r'^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$'
    if re.match(pattern, email):
        return True
    else:
        return False

email = input(""Enter an email address: "")
if is_valid_email(email):
    print(""Valid email address"")
else:
    print(""Invalid email address"")


# Explanation:

# We are using regular expression to validate the email address. The regular expression pattern used is:
# ^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$
# Here, 
# ^ - start of the string
# [a-zA-Z0-9._%+-]+ - matches one or more of any of the characters inside the square brackets
# @ - matches the @ symbol
# [a-zA-Z0-9.-]+ - matches one or more of any of the characters inside the square brackets
# \. - matches the dot symbol
# [a-zA-Z]{2,} - matches two or more of any alphabetical characters
# $ - end of the string
# The re.match() function checks if the email matches the given pattern. If it matches, the function returns True, else it returns False. ",Partially Correct,Usage of inbuilt function,"Given a string as input, return True if its a valid email address, else return False.Write Sample Python Code for the given problem..Do not use inbuilt function 
","def is_valid_email(email):
    # Splitting the email into username and domain name
    username, domain = email.split('@')
    
    # Checking if username is valid
    if not username:
        return False
    for char in username:
        if not char.isalnum() and char != '_' and char != '.':
            return False
    
    # Checking if domain is valid
    if not domain:
        return False
    for char in domain:
        if not char.isalnum() and char != '.':
            return False
    
    # Checking if domain has a '.'
    if '.' not in domain:
        return False
    
    # Checking if domain has a valid extension
    extension = domain.split('.')[-1]
    if len(extension) < 2 or len(extension) > 3:
        return False
    
    return True

# Testing the function
print(is_valid_email('example@gmail.com')) # True
print(is_valid_email('example@gmail.co')) # False
print(is_valid_email('example@gmail_com')) # False
print(is_valid_email('example@gmail.com.')) # False
print(is_valid_email('example@gmail.c')) # False ",Fully Correct
"Given a string as input, return True if its a valid mobile number in India, else return False.Write Sample Python Code for the given problem","A valid mobile number in India has the following properties:


1. It starts with either +91 or 91.
2. Then it has exactly 10 digits after that.
3. It can have any combination of digits and spaces in between.
4. It can have any number of spaces between the digits.
5. It can have any number of digits before the first digit after +91 or 91.

Examples:

Input: ""+91 987654 321098""
Output: True

Input: ""91987654321098""
Output: True

Input: ""+91 123 45 678 9012""
Output: True

Input: ""+91 1234 567 8901""
Output: True

Input: ""919876543210980""
Output: False

Input: ""+91 123 45 678 90123""
Output: False

Input: ""12345 6789012""
Output: False

Input: ""+1 987654321098""
Output: False

Input: ""911234567890123""
Output: False

Input: ""91 1234 5678 9012 3""
Output: False ",Wrong Random Chat,,,,
"Given a string as input, return True if its a palindrome, else return False (case sensitive and ignore spaces). Do not use string splicing..Write a Sample Python Code for the given problem","Example:

Input: ""A man a plan a canal Panama""
Output: True

Input: ""race a car""
Output: False

Input: ""Was it a car or a cat I saw?""
Output: True

Input: ""No 'x' in Nixon""
Output: True

Input: ""Hello World""
Output: False

Input: ""A Santa at NASA""
Output: True

Input: ""Madam in Eden, I'm Adam""
Output: True

Input: ""Never odd or even""
Output: True

Input: ""Do geese see God?""
Output: False

Note:Ignore spaces and special characters and consider only alphabets.


Here's the Python code for the same:


```python
def is_palindrome(string):
    string = string.lower()
    string = string.replace("" "", """")
    string = string.replace("","", """")
    string = string.replace(""."", """")
    string = string.replace(""?"", """")
    string = string.replace(""!"", """")
    string = string.replace(""'"", """")
    string = string.replace(""\"""", """")
    string = string.replace(""-"", """")
    string = string.replace("":"", """")
    string = string.replace("";"", """")
    string = string.replace(""("", """")
    string = string.replace("")"", """")
    string = string.replace(""["", """")
    string = string.replace(""]"", """")
    string = string.replace(""{"", """")
    string = string.replace(""}"", """")
    string = string.replace(""<"", """")
    string = string.replace("">"", """")
    string = string.replace(""/"", """")
    string = string.replace(""\\"", """")
    string = string.replace(""|"", """")
    string = string.replace(""_"", """")
    string = string.replace(""="", """")
    string = string.replace(""+"", """")
    string = string.replace(""*"", """")
    string = string.replace(""%"", """")
    string = string.replace(""#"", """")
    string = string.replace(""&"", """")
    string = string.replace(""$"", """")
    string = string.replace(""@"", """")
    string = string.replace(""^"", """")
    string = string.replace(""`"", """")
    string = string.replace(""~"", """")
    string = string.replace(""1"", """")
    string = string.replace(""2"", """")
    string = string.replace(""3"", """")
    string = string.replace(""4"", """")
    string = string.replace(""5"", """")
    string = string.replace(""6"", """")
    string = string.replace(""7"", """")
    string = string.replace(""8"", """")
    string = string.replace(""9"", """")
    string = string.replace(""0"", """")
    string = string.replace(""-"", """")
    string = string.replace("" "", """")
    string = string.replace(""\n"", """")
    string = string.replace(""\t"", """")
    string = string.replace(""\r"", """")
    string = string.replace(""\v"", """")
    string = string.replace(""\f"", """")
    string = string.replace(""\b"", """")
    string = string.replace(""\a"", """")
    string = string.replace(""\t"", """")
    length = len(string)
    for i in range(length // 2):
        if string[i] != string[length - i - 1]:
            return False
    return True

# Test cases
print(is_palindrome(""A man a plan a canal Panama"")) # True
print(is_palindrome(""race a car"")) # False
print(is_palindrome(""Was it a car or a cat I saw?"")) # True
print(is_palindrome(""No 'x' in Nixon"")) # True
print(is_palindrome(""Hello World"")) # False
print(is_palindrome(""A Santa at NASA"")) # True
print(is_palindrome(""Madam in Eden, I'm Adam"")) # True
print(is_palindrome(""Never odd or even"")) # True
print(is_palindrome(""Do geese see God?"")) # False",Fully Correct,,,,
"Given a paragraph as input, return a list of sentences. Use full-stop, exclamation and question mark as the three allowed delimiters between sentences. These punctuation marks should be included in the output list of sentences. Give a Sample Python Code for the given problem","
Comment: Please provide enough code so others can better understand or reproduce the problem.

Answer:Here's a sample Python code that splits a paragraph into sentences based on full stops, exclamation marks and question marks:


\begin{code}
import re

def split_sentences(paragraph):
    # define a regular expression to match sentence delimiters
    pattern = r'[.!?]'
    # split the paragraph into sentences using the regular expression
    sentences = re.split(pattern, paragraph)
    # return the list of sentences
    return sentences

# example usage
paragraph = ""This is a sample paragraph. It has two sentences! And a third one? And a fourth one.""
sentences = split_sentences(paragraph)
print(sentences)
\end{code}

Output:

\begin{code}
['This is a sample paragraph', ' It has two sentences', ' And a third one', ' And a fourth one', '']
\end{code}

Note that the regular expression `[.!?]` matches any of the characters `.`, `!` or `?`, and the `re.split()` function splits the paragraph at each match, including the delimiter in the output. The last empty string in the list is due to the final period at the end of the paragraph. If you don't want it, you can remove it with `sentences[:-1]`. ",Wrong Random Chat,,,,
